,Description,House_Type,Location,Price
152,4 BEDROOM FLAT / APARTMENT FOR RENT,Premium 4 Bedroom Apartment With Bq,Old Ikoyi Ikoyi Lagos," ₦ 12,000,000/year "
153,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex + Bq,"By Bera Estate, Chevron Lekki Lagos"," ₦ 5,000,000/year "
154,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,Chevron Lekki Lagos," ₦ 4,000,000/year "
155,4 BEDROOM FLAT / APARTMENT FOR RENT,Luxury 4 Bedroom Apartment + Bq,Old Ikoyi Lagos," ₦ 16,000,000/year "
156,2 BEDROOM HOUSE FOR RENT,Blocks Of 2 Bedroom Apartment,Oniru Victoria Island Lagos," ₦ 5,500,000/year "
157,4 BEDROOM HOUSE FOR RENT,Newly Built 4 Bedroom Terrace Duplex With Bq,Banana Island Ikoyi Lagos," ₦ 25,000,000/year "
158,4 BEDROOM HOUSE FOR RENT,4 Bedroom Maisonette,Banana Island Ikoyi Lagos," ₦ 35,000,000/year "
159,6 BEDROOM HOUSE FOR RENT,6 Bedroom Detached Duplex,"Ecowas, Asokoro Abuja"," ₦ 40,000,000/year "
160,4 BEDROOM HOUSE FOR RENT,Newly Built 4 Bedroom Fully Detached Duplex,Secound Tollgate Lekki Phase 2 Lekki Lagos," ₦ 9,000,000/year "
161,5 BEDROOM HOUSE FOR RENT,Newly Built 5 Bedroom Semi Detached Duplex With Bq,Old Ikoyi Lagos," ₦ 20,000,000/year "
162,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,Ikota Gra Lekki Lagos," ₦ 3,500,000/year "
163,3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Apartment With Bq,Old Ikoyi Lagos," ₦ 24,000,000/year "
164,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex With Bq,Lekki Phase 1 Lekki Lagos," ₦ 12,000,000/year "
165,HOUSE FOR RENT,4 Bedroom Bungalow,Akala Express Ibadan Oyo," ₦ 1,000,000/year "
166,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Diplomatic Zone Guzape Abuja," ₦ 6,000,000/year "
167,8 BEDROOM HOUSE FOR RENT,8 Bedroom Mansion,Diplomatic Zone Asokoro Abuja," ₦ 25,000,000/year "
168,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,"By National Assembly Qt, Apo Abuja"," ₦ 8,000,000/year "
169,FLAT / APARTMENT FOR RENT,Newly Built 2 Bedroom Flat,Fodacis Ibadan Oyo," ₦ 800,000/year "
170,FLAT / APARTMENT FOR RENT,Standard 3 Bedroom Flat,"Oke Ibukun Elebu, Ibadan Oyo"," ₦ 600,000/year "
171,3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Apartment + Bq,Old Ikoyi Lagos," ₦ 8,000,000/year "
172,HOUSE FOR RENT,4 Bedroom Terraced Duplex,"Phase 1, Lekki Lagos"," ₦ 7,000,000/year "
173,4 BEDROOM HOUSE FOR RENT,Exotic 4 Bedroom Detached Duplex,Oral Estate Lekki Lagos," ₦ 7,000,000/year "
174,4 BEDROOM HOUSE FOR RENT,4 Bedroom Detached Duplex + Bq,Orchid Chevron Lekki Lagos," ₦ 5,500,000/year "
175,3 BEDROOM HOUSE FOR RENT,3 Bedroom Penthouse,Off Admiralty Lekki Lagos," ₦ 11,000,000/year "
176,4 BEDROOM HOUSE FOR RENT,Fully Serviced 4 Bedroom Massionette,Ikoyi Lagos," ₦ 14,000,000/year "
177,4 BEDROOM HOUSE FOR RENT,Fully Serviced 4 Bedroom Terraced Duplex,"Orchid, Chevron Lekki Lagos"," ₦ 4,000,000/year "
178,4 BEDROOM HOUSE FOR RENT,Serviced 4 Bedroom Semi Detached Duplex,Ikoyi Lagos," ₦ 17,000,000/year "
179,4 BEDROOM HOUSE FOR RENT,Fully Serviced 4 Bedroom Maisonette,"Phase 1, Lekki Lagos"," ₦ 10,000,000/year "
180,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Ikoyi Lagos," ₦ 25,000,000/year "
181,4 BEDROOM FLAT / APARTMENT FOR RENT,4 Bedroom Apartment,Old Ikoyi Ikoyi Lagos," ₦ 11,800,000/year "
182,HOUSE FOR RENT,Spacious 3 Bedroom Maisonette,Chevron Lekki Lagos," ₦ 4,000,000/year "
183,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Ikota Lekki Lagos," ₦ 4,000,000/year "
184,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,Ologolo Lekki Lagos," ₦ 7,000,000/year "
185,5 BEDROOM HOUSE FOR RENT,5 Bedroom Detached Duplex + Bq,Ikate Lekki Lagos," ₦ 13,000,000/year "
186,5 BEDROOM HOUSE FOR RENT,Exotic 5 Bedroom Semi Detached Duplex,Ikate Lekki Lagos," ₦ 10,000,000/year "
187,4 BEDROOM HOUSE FOR RENT,Serviced 4 Bedroom Terraced Duplex,Ikoyi Lagos," ₦ 17,000,000/year "
188,2 BEDROOM HOUSE FOR RENT,Furnished 2 Bedroom Apartment,Lekki Right Lekki Lagos," ₦ 15,000,000/year "
189,4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex,Lekki Lagos," ₦ 12,000,000/year "
190,4 BEDROOM HOUSE FOR RENT,Luxury 4 Bedroom Terraced Duplex + Bq,Old Ikoyi Lagos," ₦ 16,000,000/year "
191,5 BEDROOM HOUSE FOR RENT,5 Bedroom Fully Detached Duplex,"Oral Estate, Chevron Lekki Lagos"," ₦ 6,000,000/year "
192,4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex,Old Ikoyi Ikoyi Lagos," ₦ 20,000,000/year "
193,4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex,"Chevron Toll Gate, Chevron Lekki Lagos"," ₦ 5,000,000/year "
194,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex With Bq,Banana Island Ikoyi Lagos," ₦ 22,000,000/year "
195,5 BEDROOM HOUSE FOR RENT,5 Bedroom Fully Detached Duplex,Ikota Lekki Lagos," ₦ 6,300,000/year "
196,4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex,Ikota Lekki Lagos," ₦ 5,000,000/year "
197,2 BEDROOM FLAT / APARTMENT FOR RENT,2 Bedroom Flat,Kolapo Ishola Gra Akobo Ibadan Oyo," ₦ 1,500,000/year "
198,5 BEDROOM HOUSE FOR RENT,Spacious 5 Bedroom Fully Detached Duplex,Drive Lekki Lagos Chevron Lekki Lagos," ₦ 7,000,000/year "
199,2 BEDROOM HOUSE FOR RENT,Fully Serviced 2 Bedroom Apartments,Orchid Chevron Lekki Lagos," ₦ 3,000,000/year "
200,4 BEDROOM HOUSE FOR RENT,Exotic 4 Bedroom Semi Detached Duplex,Osapa London Lekki Lagos," ₦ 7,000,000/year "
201,4 BEDROOM HOUSE FOR RENT,New 4 Bedroom Semi Detached House + Bq,Osborne 2 Osborne Foreshore Estate Ikoyi Lagos," ₦ 15,000,000/year "
202,4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex,Ikoyi Lagos," ₦ 18,000,000/year "
203,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Banana Island Ikoyi Lagos," ₦ 22,000,000/year "
204,3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Apartment,Old Ikoyi Ikoyi Lagos," ₦ 9,000,000/year "
205,2 BEDROOM FLAT / APARTMENT FOR RENT,2 Bedroom Flat,"Cele Aparadija, Close To Ayobo Ipaja Lagos"," ₦ 250,000/year "
206,3 BEDROOM FLAT / APARTMENT FOR RENT,Luxury 3 Bedroom Apartment + Bq,Banana Island Ikoyi Lagos," ₦ 12,000,000/year "
207,3 BEDROOM HOUSE FOR RENT,3 Bedroom Apartment,"Off Nike Art Gallery, Phase 1 Lekki Lagos"," ₦ 5,000,000/year "
208,2 BEDROOM HOUSE FOR RENT,Serviced 2 Bedroom Apartment,Ikate Lekki Lagos," ₦ 4,500,000/year "
209,1 BEDROOM HOUSE FOR RENT,1 Bedroom Apartment,Oniru Victoria Island Lagos," ₦ 3,500,000/year "
210,2 BEDROOM FLAT / APARTMENT FOR RENT,2 Bedroom Flat,"Ekoro Road, Meiran Abule Egba Lagos"," ₦ 500,000/year "
211,4 BEDROOM HOUSE FOR RENT,Exquisite 4 Bedroom Terraced Duplex + Bq,Osapa London Lekki Lagos," ₦ 4,000,000/year "
212,4 BEDROOM HOUSE FOR RENT,Brand New 4 Bedroom Detached Duplex,Naf Valley Estate Asokoro Abuja Diplomatic Zone Asokoro Abuja," ₦ 8,000,000/year "
213,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Osapa London Lekki Lagos," ₦ 7,000,000/year "
214,3 BEDROOM FLAT / APARTMENT FOR RENT,Waterfront 3 Bedroom Apartment With Bq,Banana Island Ikoyi Lagos," ₦ 14,500,000/year "
215,4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex,Chevron Lekki Lagos," ₦ 5,000,000/year "
216,4 BEDROOM HOUSE FOR RENT,Luxury 4 Bedroom Terraced Duplex + Bq,Old Ikoyi Lagos," ₦ 13,000,000/year "
217,3 BEDROOM HOUSE FOR RENT,3 Bedroom Apartment,Oniru Victoria Island Lagos," ₦ 9,000,000/year "
218,3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Flat,Ijede Ikorodu Lagos," ₦ 400,000/year "
219,HOUSE FOR RENT,3 Bedroom Duplex With Bq,Ring Rd Ibadan Oyo," ₦ 1,700,000/year "
220,1 BEDROOM FLAT / APARTMENT FOR RENT,Mini Flat,Gloryland Egbeda Alimosho Lagos," ₦ 400,000/year "
221,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,Chevron Lekki Lagos," ₦ 4,000,000/year "
222,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,Chevron Lekki Lagos," ₦ 5,000,000/year "
223,4 BEDROOM HOUSE FOR RENT,Lovely 4 Bedroom Terrace Duplex With Bq,Lekki Phase 1 Lekki Lagos," ₦ 10,000,000/year "
224,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Chevron Lekki Lagos," ₦ 4,500,000/year "
225,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex + 1 Room Bq,"By National Assembly Qt Diplomatic Zone, Apo Abuja"," ₦ 6,500,000/year "
226,LAND FOR RENT,20 Acres Of Farm Land,Oduru Village Near Elekuru Off Moniya/ijaye Road Moniya Ibadan Oyo," ₦ 10,000/year "
227,3 BEDROOM FLAT / APARTMENT FOR RENT,Luxury 3 Bedroom Apartment,Old Ikoyi Ikoyi Lagos," ₦ 16,000,000/year "
228,2 BEDROOM FLAT / APARTMENT FOR RENT,2 Bedroom Flat,Pedro Shomolu Lagos," ₦ 1,600,000/year "
229,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Guzape Abuja," ₦ 8,000,000/year "
230,COMMERCIAL PROPERTY FOR RENT,Supermarket/banking Hall,Cele Ijesha Bus Stop Ijesha Surulere Lagos," ₦ 5,000,000/year "
231,3 BEDROOM FLAT / APARTMENT FOR RENT,Serviced 3 Bedroom Apartment,"Bay Nest Megamound Extension, Phase 2 Lekki Lagos"," ₦ 3,500,000/year "
232,4 BEDROOM HOUSE FOR RENT,Waterview 4 Bedroom Maisonette,Banana Island Ikoyi Lagos," ₦ 40,000,000/year "
233,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex + Bq,Banana Island Ikoyi Lagos," ₦ 12,000,000/year "
234,6 BEDROOM HOUSE FOR RENT,6 Bedroom Duplex,Osapa London Lekki Lagos," ₦ 12,000,000/year "
235,4 BEDROOM HOUSE FOR RENT,Aesthetic 4 Bedroom Maisonette,"Admiralty Way, Phase 1 Lekki Lagos"," ₦ 10,000,000/year "
236,5 BEDROOM HOUSE FOR RENT,5 Bedroom Detached Duplex,Chevron Lekki Lagos," ₦ 7,000,000/year "
237,5 BEDROOM HOUSE FOR RENT,Luxury 5 Bedroom Semi Detached House + Bq,Mojisola Onikoyi Estate Ikoyi Lagos," ₦ 22,000,000/year "
238,5 BEDROOM HOUSE FOR RENT,5 Bedroom Fully Detached Duplex,Chevron Lekki Lagos," ₦ 9,500,000/year "
239,4 BEDROOM HOUSE FOR RENT,Exquisite 4 Bedroom Terraced Duplex,Ikota Lekki Lagos," ₦ 3,800,000/year "
240,6 BEDROOM HOUSE FOR RENT,Furnished 6 Bedroom Detatched Duplex + Bq,Osapa London Lekki Lagos," ₦ 12,000,000/year "
241,4 BEDROOM HOUSE FOR RENT,Exquisite 4 Bedroom Semi Detached Duplex,Vgc Lekki Lagos," ₦ 5,000,000/year "
242,4 BEDROOM HOUSE FOR RENT,Newly Built 4 Bedroom Semi Detached Duplex With Bq,Old Ikoyi Ikoyi Lagos," ₦ 18,000,000/year "
243,4 BEDROOM HOUSE FOR RENT,Furnished 4 Bedroom Terraced Duplex + Bq,Old Ikoyi Lagos," ₦ 20,000,000/year "
244,4 BEDROOM HOUSE FOR RENT,Luxury 4 Bedroom Terraced House + Bq,Banana Island Ikoyi Lagos," ₦ 17,000,000/year "
245,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,Chevron Lekki Lagos," ₦ 4,000,000/year "
246,3 BEDROOM HOUSE FOR RENT,Exquisite 3 Bedroom Apartment,Agungi Lekki Lagos," ₦ 4,000,000/year "
247,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,Ikoyi Lagos," ₦ 7,500,000/year "
248,4 BEDROOM HOUSE FOR RENT,Serviced 4 Bedroom Semi Detached Duplex With Bq,Vgc Lekki Lagos," ₦ 5,500,000/year "
249,4 BEDROOM HOUSE FOR RENT,Exquisite 4 Bedroom Terraced Duplexes,Ikota Lekki Lagos," ₦ 3,800,000/year "
250,4 BEDROOM HOUSE FOR RENT,Serviced 4 Bedroom Terraced Duplexes + Pool,"Orchid, Chevron Lekki Lagos"," ₦ 4,000,000/year "
251,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,Ikota Lekki Lagos," ₦ 5,000,000/year "
252,2 BEDROOM HOUSE FOR RENT,2 Bedroom Apartment,Agungi Lekki Lagos," ₦ 4,000,000/year "
253,3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Apartment + Bq,Old Ikoyi Lagos," ₦ 12,000,000/year "
254,4 BEDROOM HOUSE FOR RENT,4 Bedroom Detached Duplex With Bq,Chevron 2nd Toll Gate Lekki Lagos," ₦ 5,000,000/year "
255,4 BEDROOM HOUSE FOR RENT,Exotic 4 Bedroom Terraced Duplex,Orchid Chevron Lekki Lagos," ₦ 3,500,000/year "
256,3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Apartment With Bq,Old Ikoyi Lagos," ₦ 15,000,000/year "
257,2 BEDROOM FLAT / APARTMENT FOR RENT,2 Bedroom Flat,Iyana Ipaja Ipaja Lagos," ₦ 900,000/year "
258,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,"Diplomatic Zone, Wuye Abuja"," ₦ 15,000,000/year "
259,4 BEDROOM HOUSE FOR RENT,Brand New 4 Bedroom Semi Detached Duplex,"Phase 1, Lekki Lagos"," ₦ 12,000,000/year "
260,4 BEDROOM HOUSE FOR RENT,Magnificent 4 Bedroom Terraced Duplex,"Meadow Hall, Ikate Lekki Lagos"," ₦ 6,500,000/year "
261,5 BEDROOM HOUSE FOR RENT,5 Bedroom Semi Detached House + 2 Bq,Parkview Estate Ikoyi Lagos," ₦ 12,000,000/year "
262,4 BEDROOM HOUSE FOR RENT,4 Bedroom Detached Duplex,"Chevron Toll Gate Orchid, Chevron Lekki Lagos"," ₦ 6,500,000/year "
263,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex With Bq,Old Ikoyi Lagos," ₦ 25,000,000/year "
264,1 BEDROOM FLAT / APARTMENT FOR RENT,Brand New 1 Bedroom Apartment,Ologolo Lekki Lagos," ₦ 3,000,000/year "
265,4 BEDROOM HOUSE FOR RENT,Unfurnished 4 Bedroom Terraced House + Bq,Old Ikoyi Lagos," ₦ 20,000,000/year "
266,3 BEDROOM HOUSE FOR RENT,3 Bedroom Flat,Maitama Abuja," ₦ 13,500,000/year "
267,3 BEDROOM FLAT / APARTMENT FOR RENT,Spacious 3 Bedroom Apartment,"Megamound Estate, Ikota Lekki Lagos"," ₦ 4,000,000/year "
268,9 BEDROOM HOUSE FOR RENT,9 Bedroom Detached Duplex,Maitama Abuja," ₦ 60,000,000/year "
269,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Gilmore Jahi Abuja," ₦ 6,500,000/year "
270,2 BEDROOM FLAT / APARTMENT FOR RENT,2 Bedroom Apartment,Lekki Lagos Ikate Lekki Lagos," ₦ 3,500,000/year "
271,4 BEDROOM FLAT / APARTMENT FOR RENT,4 Bedroom Apartment,Banana Island Ikoyi Lagos," ₦ 25,000,000/year "
272,4 BEDROOM HOUSE FOR RENT,Luxury 4 Bedroom Maisonette On 2 Floors + Bq,Parkview Estate Ikoyi Lagos," ₦ 14,000,000/year "
273,3 BEDROOM FLAT / APARTMENT FOR RENT,Luxury 3 Bedroom Apartment + Bq,Old Ikoyi Lagos," ₦ 14,000,000/year "
274,CO WORKING SPACE FOR RENT,Office Space,Ojoo Ibadan Oyo," ₦ 500,000/year "
275,4 BEDROOM FLAT / APARTMENT FOR RENT,4 Bedroom Apartment,Old Ikoyi Ikoyi Lagos," ₦ 12,000,000/year "
276,4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex With Bq,Parkview Estate Ikoyi Lagos," ₦ 17,999,999/year "
277,2 BEDROOM HOUSE FOR RENT,2 Bedroom Serviced Apartment,Chevron Lekki Lagos," ₦ 3,000,000/year "
278,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,Ikate Lekki Lagos," ₦ 8,500,000/year "
279,5 BEDROOM HOUSE FOR RENT,Luxury 5 Bedroom Detached Duplex + Bq,Banana Island Ikoyi Lagos," $ 150,000/year "
280,5 BEDROOM HOUSE FOR RENT,5 Bedroom Detached Duplex,Lekki Lagos," ₦ 20,000,000/year "
281,4 BEDROOM HOUSE FOR RENT,Detached 4 Bedroom Duplex,Old Ikoyi Ikoyi Lagos," ₦ 20,000,000/year "
282,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex With Bq,Ologolo Lekki Lagos," ₦ 7,500,000/year "
283,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,Vgc Lekki Lagos," ₦ 4,000,000/year "
284,4 BEDROOM HOUSE FOR RENT,Massive 4 Bedroom Terraced Duplex,Vgc Lekki Lagos," ₦ 3,500,000/year "
285,5 BEDROOM HOUSE FOR RENT,5 Bedroom Ensuite Detached Duplex With Bq,Ikota Lekki Lagos," ₦ 6,500,000/year "
286,3 BEDROOM HOUSE FOR RENT,3 Bedroom Semi Detached Duplex With Bq,Carlton Gate Estate Akobo Ibadan Oyo," ₦ 3,500,000/year "
287,FLAT / APARTMENT FOR RENT,A Room Self Contain,"Felele, Challenge Ibadan Oyo"," ₦ 200,000/year "
288,2 BEDROOM HOUSE FOR RENT,2 Bedroom Flat,Oniru Victoria Island Lagos," ₦ 8,000,000/year "
289,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex With Bq,"Plot 625 Mobolaji Johnson Road Apo, National Assembly Quarters Zone Q Apo Abuja"," ₦ 6,500,000/year "
290,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Close To Nnpc Guzape Abuja," ₦ 6,500,000/year "
291,4 BEDROOM FLAT / APARTMENT FOR RENT,4 Bedroom Penthouse,Old Ikoyi Lagos," ₦ 25,000,000/year "
292,4 BEDROOM HOUSE FOR RENT,Exquisite 4 Bedroom Detached Duplex,Osapa London Lekki Lagos," ₦ 5,500,000/year "
293,4 BEDROOM HOUSE FOR RENT,4 Bedroom Duplex,Oral Estate Lekki Lagos," ₦ 6,000,000/year "
294,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,Ikate Lekki Lagos," ₦ 10,000,000/year "
295,4 BEDROOM HOUSE FOR RENT,Beautiful 4 Bedroom Terrace Duplex With Bq,Lekki Phase 1 Lekki Lagos," ₦ 10,000,000/year "
296,4 BEDROOM HOUSE FOR RENT,Furnished 4 Bedroom Terrace Duplex,Agungi Lekki Lagos," ₦ 6,000,000/year "
297,4 BEDROOM HOUSE FOR RENT,Fully Serviced 4 Bedroom Terraced Duplex With Bq,Lekki Phase 1 Lekki Lagos," ₦ 12,000,000/year "
298,5 BEDROOM HOUSE FOR RENT,5 Bedroom Fully Detached Duplex,Chevron Lekki Lagos," ₦ 10,000,000/year "
299,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,Vgc Lekki Lagos," ₦ 4,000,000/year "
300,4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex,"Chevron Toll Gate Orchid, Chevron Lekki Lagos"," ₦ 6,500,000/year "
301,3 BEDROOM FLAT / APARTMENT FOR RENT,4 Bedroom Apartment,Old Ikoyi Ikoyi Lagos," ₦ 14,000,000/year "
302,3 BEDROOM FLAT / APARTMENT FOR RENT,Premium 3 Bedroom Apartment + Bq,Old Ikoyi Lagos," ₦ 8,000,000/year "
303,5 BEDROOM HOUSE FOR RENT,5 Bedroom Terraced Duplex,Adeola Odeku Victoria Island Lagos," ₦ 11,500,000/year "
