Description,Type,Location,Price
4 bedroom semi-detached duplex for rent,Four Bedroom Semi Detached Duplex,"  Ikota, Lekki, Lagos","4,000,000"
4 bedroom semi-detached duplex for rent,Tastefully Finished 4 Bedroom Semi Detached Duplex,"  Oral Estate, Lekki, Lagos","5,500,000"
4 bedroom terraced duplex for rent,Luxury Serviced 4 Bedroom Semi Detached Duplex,"  Off Admiralty Road, Lekki Phase 1, Lekki, Lagos","10,000,000"
3 bedroom terraced duplex for rent,Luxury 4 Bedroom House,"  GRA Phase 2, Magodo, Lagos","3,500,000"
2 bedroom semi-detached bungalow for rent,Newly Built Two Bedroom Flats (just Two Flats/tenants In The Compound),"  Selewu, Igbogbo, Ikorodu, Lagos","400,000"
3 bedroom terraced duplex for rent,"New Finished/furnish 3 Bedroom Terrace Duplex With A Bq At Jahi, Abuja","  Jahi, Abuja","10,000,000"
6 bedroom detached duplex for rent,Luxury 6 Bedroom Fully Detached Plus Bq,"  Pinnock Beach Estate, Osapa, Osapa, Lekki, Lagos","14,999,000"
5 bedroom detached duplex for rent,Spacious 5 Bedroom + 3 Bedroom On Large Grounds,"  Busy Major Road, Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","30,000,000"
2 bedroom terraced duplex for rent,This Property Stands As The Epitome Of Luxurious Living,"  Ikota, Lekki, Lagos","3,500,000"
4 bedroom semi-detached duplex for rent,Luxury 4 Bedroom Semi Detached Duplex,"  Chevron, Lekki, Lagos","5,000,000"
4 bedroom semi-detached duplex for rent,4 Bedroom Semi-detached Duplex;,"  Idado, Lekki, Lagos","3,500,000"
4 bedroom semi-detached bungalow for rent,3 Bedroom Bungalow,"  Sunnyvale Homes, Dakwo, Abuja","3,000,000"
4 bedroom detached duplex for rent,Four (4) Bedrooms,"  Efab Queens Gwarimpa, Abuja, Gwarinpa, Abuja","6,000,000"
4 bedroom semi-detached duplex for rent,Luxury 4 Bedroom Semi Detached Duplex With Bq,"  Lekki Phase 1, Lekki, Lagos","10,000,000"
3 bedroom semi-detached bungalow for rent,3 Bedroom Semi Detached Bungalow,"  Sunnyvale Estate, Dakwo, Abuja","3,000,000"
4 bedroom semi-detached duplex for rent,Beautiful 4bedrooms Semi Detached Duplex With Swimming Pool,"  2nd Toll Gate, Lekki, Lagos","9,000,000"
5 bedroom semi-detached duplex for rent,Luxury 5 Bedroom Semi Detached Duplex With Bq,"  Lekki Scheme 2, Ajah, Lagos","4,000,000"
5 bedroom detached duplex for rent,Private 5 Bedroom Duplex With A Mini Flat And 2 Bed Flat,"  Lekki Phase 1, Lekki, Lagos","15,000,000"
4 bedroom semi-detached duplex for rent,Luxury 4bed Semi Detached Duplex With Bq,"  Royal Pine Estate Orchid Road, Lekki Phase 2, Lekki, Lagos","5,000,000"
3 bedroom terraced duplex for rent,Luxury 3 Bedroom Terrace Duplex With Bq,"  Lekki Scheme 2, Ajah, Lagos","2,500,000"
4 bedroom terraced duplex for rent,4 Bedroom Terrace Duplex With Bq,"  Life Camp, Abuja","7,000,000"
4 bedroom terraced duplex for rent,Topnotch 4 Bedroom Terrace Duplex With Bq,"  Jahi, Abuja","10,000,000"
3 bedroom house for rent,Luxury Furnished 3 Bedroom Apartment With Bq,"  Banana Island, Ikoyi, Lagos","20,000,000"
4 bedroom detached duplex for rent,Spacious 4bedroom Detached Duplex With Bq,"  Ikoyi, Lagos","17,000,000"
4 bedroom semi-detached duplex for rent,4 Bedroom Semi-detached Duplex With Bq,"  Wuye, Abuja","8,000,000"
3 bedroom house for rent,Luxury Fully Serviced 3bedrooms Maisonette With Bq And Swimming,"  Oniru, Victoria Island (VI), Lagos","10,000,000"
4 bedroom terraced bungalow for rent,Luxury Built 4 Bedrooms Terrace Duplex With A Room Bq,"  Ikoyi, Lagos","25,000,000"
4 bedroom semi-detached duplex for rent,Newly Built 4bedroom Duplex,"  Ologolo, Lekki, Lagos","5,500,000"
4 bedroom terraced duplex for rent,4bedroom Terrace Duplex,"  Ikoyi, Lagos","15,000,000"
3 bedroom house for rent,Executive Newly Built 3 Bedrooms,"  Ipaja Road, Ipaja, Lagos","1,200,000"
4 bedroom house for rent,Fully Serviced 4 Bedrooms Maisonette Available,"  Lekki Phase 1, Lekki, Lagos","10,000,000"
4 bedroom terraced duplex for rent,An Exquisitely Furnished 4-bedroom Duplex,"  By Peace Court Estate, Life Camp, Abuja","10,000,000"
4 bedroom terraced duplex for rent,4bedroom Furnished Terrace Duplex,"  Ikota, Lekki, Lagos","6,000,000"
4 bedroom semi-detached duplex for rent,4bedroom Semi Detached Duplex With A Bq,"  Orchid, Lekki, Lagos","5,500,000"
5 bedroom house for rent,1 Unit Of Brand New 5 Bedroom Penthouse Plus Bq,"  Banana Island, Ikoyi, Lagos","120,000"
4 bedroom semi-detached duplex for rent,A Beautiful 4 Bedroom Semi-detached Duplex,"  Guzape District, Abuja","12,000,000"
4 bedroom terraced duplex for rent,Serviced And Furnished 4 Bedroom Terrace With Bq,"  Jabi, Abuja","15,000,000"
4 bedroom terraced duplex for rent,Luxury Furnished 4-bedroom Terrace Duplex With 1bq,"  Peachville Estate, Dakibiyu, Abuja","10,000,000"
5 bedroom house for rent,1 Unit Of Brand New 5 Bedroom Penthouse Plus Bq,"  Banana Island, Ikoyi, Lagos","120,000"
4 bedroom house for rent,Brand New 2 Units Of 4 Bedroom Duplex,"  Old Ikoyi, Ikoyi, Lagos","20,000,000"
5 bedroom detached duplex for rent,Nicely Built 5 Bedroom Fully Detached With Bq,"  Tulip Haven, Chevron, Lekki, Lagos","7,000,000"
4 bedroom terraced duplex for rent,Standard 4 Bedroom Terrace Duplex,"  Ilasan Ikate Lekki, Ilasan, Lekki, Lagos","4,500,000"
4 bedroom house for rent,4 Bedroom Semi Detached House,"  Oniru, Victoria Island (VI), Lagos","7,000,000"
4 bedroom semi-detached duplex for rent,Beautiful Built 4 Bedroom Semi Detached Duplex With A Wide Compound Space,"  Ikota, Lekki, Lagos","5,500,000"
4 bedroom detached duplex for rent,4 Bedroom Fully Detached Duplex (alone In Compound),"  Thomas Estate, Ajah, Lagos","3,500,000"
5 bedroom semi-detached duplex for rent,Massive 5 Bedrooms Semi Detached With Bq,"  Ikate, Lekki, Lagos","10,000,000"
4 bedroom detached duplex for rent,4 Bedrooms Serviced Flat With Bq,"  Okotie Eboh, Falomo, Ikoyi, Lagos","7,000,000"
3 bedroom terraced duplex for rent,"3 Bedroom Terrace Duplex, With Bq","  Osapa, Lekki, Lagos","3,500,000"
4 bedroom semi-detached duplex for rent,Very Beautiful 4 Bedroom Semi Detached Duplex,"  Lekki Phase 1, Lekki, Lagos","10,000,000"
3 bedroom terraced duplex for rent,3 Bedroom Terrace Duplex,"  VGC, Lekki, Lagos","4,000,000"
3 bedroom semi-detached duplex for rent,Strategically Located 3 Bedroom Semi-detached Duplex,"  Bricks Court Estate, Lekki, Lagos","4,500,000"
4 bedroom detached duplex for rent,Magnificent &luxuriously Finished 4 Bedroom Detached Duplex With Study,"  Lekky County Homes (megamound Estate), Lekki, Lagos","8,000,000"
4 bedroom semi-detached duplex for rent,Tastefully Finished 4 Bedroom Semi-detached Duplex,"  Chevron Tollgate, Lekki, Lagos","4,000,000"
4 bedroom terraced duplex for rent,Lovely 4 Bedrooms 3 Living Rooms & Bq,"  Katampe (Main), Katampe, Abuja","4,500,000"
5 bedroom house for rent,Spacious 5 Bedroom Fully Detached Duplex With Bq,"  Orchid, Lekki, Lagos","7,000,000"
4 bedroom house for rent,Luxury 4 Bedrooms Penthouse With Swimming Pool And Gym Available,"  Lekki Phase 1, Lekki, Lagos","20,000,000"
5 bedroom terraced duplex for rent,A Newly Built Serviced 5-bedroom Duplex With 1-room Bq,"  Asokoro District, Abuja","20,000,000"
4 bedroom semi-detached duplex for rent,Fully Serviced 4 Bedrooms Semi Detached Duplex,"  Lekki Phase 1, Lekki, Lagos","10,000,000"
3 bedroom house for rent,3 Bedroom,"  Orchid, Lekki Phase 2, Lekki, Lagos","2,700,000"
4 bedroom terraced duplex for rent,Well Maintained 4 Bedroom Terraced Duplex,"  GRA Phase 2, Magodo, Lagos","3,500,000"
4 bedroom detached duplex for rent,Magnificent 4 Bedroom Fully Detached Duplex,"  Orchid Road, Lekki, Lagos","5,500,000"
4 bedroom terraced duplex for rent,Lovely 4 Bedroom Ensuite Terrace Duplex With 24 Hours Electricity,"  Victoria Crest 4 Orchid Road, Lekki Phase 2, Lekki, Lagos","4,000,000"
4 bedroom semi-detached duplex for rent,Inside A 4 Bedroom Semi-detached Duplex With A Bq,"  Orchid Road, Lekki, Lagos","5,000,000"
6 bedroom detached duplex for rent,Luxury 6 Bedroom+ 2 Bedroom Guest Chalet,"  Asokoro District, Abuja","30,000,000"
8 bedroom detached duplex for rent,Luxury 8 Bedroom+3 Bedroom Guest Duplex+swimming Pool,"  Asokoro District, Abuja","40,000,000"
4 bedroom terraced duplex for rent,Luxury,"  Lekki, Lagos","10,000,000"
4 bedroom terraced duplex for rent,Well Maintained 4 Bedroom Terrace Duplex In A Serene Environment,"  GRA Phase 2, Magodo, Lagos","3,500,000"
5 bedroom terraced duplex for rent,Luxury Serviced 5 Bedrooms Terrace Duplex With A Pool & So On,"  Victoria Island (VI), Lagos","13,000,000"
4 bedroom detached duplex for rent,Newly Renovated Serviced 4 Bedroom Detached House,"  Oniru, Victoria Island (VI), Lagos","12,500,000"
5 bedroom terraced duplex for rent,Contemporary 5 Bedrooms Terraced House,"  Victoria Island (VI), Lagos","13,000,000"
3 bedroom house for rent,Luxury 3 Bedroom,"  Badore, Ajah, Lagos","1,800,000"
3 bedroom house for rent,Spacious 3 Bedroom Apartment,"  Chevron, Lekki, Lagos","3,500,000"
4 bedroom terraced duplex for rent,Luxury 4 Bedroom Terrace Duplex With Bq,"  Lekki Right, Lekki Phase 1, Lekki, Lagos","11,000,000"
4 bedroom terraced duplex for rent,4 Bedroom Terraced Duplex,"  Frsc, Before Blenco, Sangotedo, Ajah, Lagos","2,500,000"
4 bedroom terraced duplex for rent,Well Finished Serviced 4 Bedroom Terraced Duplex,"  Tulip Estate, Chevron Alternative Route, Lekki, Lagos","3,500,000"
4 bedroom detached duplex for rent,Luxury 4 Bedroom Detached Duplex,"  Lekki Scheme 2, Ajah, Lagos","2,500,000"
4 bedroom terraced duplex for rent,Top-notch 4 Bedroom Terrace Duplex With Bq,"  Jahi, Abuja","10,000,000"
4 bedroom terraced duplex for rent,4 Bedroom Terrace House + Garage+ Bq+parking For Up To 4 Cars,"  Banana Island, Ikoyi, Lagos","12,000,000"
2 bedroom terraced duplex for rent,Newly Built 2 Bedroom Terrace Duplex With Spacious Rooms,"  Ikota, Lekki, Lagos","3,000,000"
2 bedroom terraced duplex for rent,2 Bedroom Terrace Duplex,"  Ikota, Lekki, Lagos","3,000,000"
