Description,House_Type,Location,Price
5 BEDROOM HOUSE FOR RENT,5 Bedroom Semi Detached Duplex,Banana Island Ikoyi Lagos," ₦ 30,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Lekki Lagos," ₦ 9,500,000/year "
4 BEDROOM HOUSE FOR RENT,Serviced 4 Bedroom Terraced Duplex,Old Ikoyi Lagos," ₦ 20,000,000/year "
2 BEDROOM HOUSE FOR RENT,2 Bedroom Apartment,Ikate Lekki Lagos," ₦ 5,000,000/year "
COMMERCIAL PROPERTY FOR RENT,1 Room Office Space,"Liberty Road, Ibadan Oyo"," ₦ 400,000/year "
COMMERCIAL PROPERTY FOR RENT,Shop,"Phase 1, Lekki Lagos"," ₦ 5,500,000/year "
4 BEDROOM HOUSE FOR RENT,Luxury 4 Bedroom Semi Detached Duplex With Bq,Lekki Phase 1 Lekki Lagos," ₦ 12,000,000/year "
4 BEDROOM HOUSE FOR RENT,Luxury 4 Bedroom Penthouse,Victoria Island Lagos," ₦ 30,000,000/year "
5 BEDROOM HOUSE FOR RENT,Self Serviced 5 Bedroom Fully Detached Duplex With Bq,Lekki County Ikota Lekki Lagos," ₦ 7,000,000/year "
10 BEDROOM HOUSE FOR RENT,Brand New 10 Bedroom Mansion With 2 Room Bq,Diplomatic Zone Asokoro Abuja," ₦ 50,000,000/year "
2 BEDROOM HOUSE FOR RENT,2 Bedroom Apartment,Ajah Lagos," ₦ 2,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Detached Duplex,"Chevron Toll Gate, Chevron Lekki Lagos"," ₦ 4,500,000/year "
5 BEDROOM HOUSE FOR RENT,5 Bedroom Semi Detached Duplex + Bq,"American International School, Durumi Abuja"," ₦ 10,000,000/year "
1 BEDROOM HOUSE FOR RENT,Studio Apartment,Ikate Lekki Lagos," ₦ 2,000,000/year "
5 BEDROOM HOUSE FOR RENT,5 Bedroom Detached Duplex,Chevron Lekki Lagos," ₦ 7,000,000/year "
3 BEDROOM HOUSE FOR RENT,Fully Furnished 3 Bedroom Apartment,"Banana Island Road, Ikoyi Lagos"," ₦ 11,000,000/year "
2 BEDROOM FLAT / APARTMENT FOR RENT,2 Bedroom Flat,Ikotun Igando Lagos," ₦ 800,000/year "
4 BEDROOM HOUSE FOR RENT,Under Renovation 4 Bedroom Semi Detached Duplex,"Naf Valley Estate, Asokoro Abuja"," ₦ 7,500,000/year "
2 BEDROOM HOUSE FOR RENT,2 Bedroom Apartment,Ilasan Ikate Lekki Lagos," ₦ 3,500,000/year "
3 BEDROOM FLAT / APARTMENT FOR RENT,Fully Serviced 3 Bedroom Apartment,Chevron Drive Lekki Lagos," ₦ 3,750,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex,Osapa London Lekki Lagos," ₦ 20,000,000/year "
5 BEDROOM HOUSE FOR RENT,Exquisite 5 Bedroom Detached Duplex,"Naf Valley Estate, Asokoro Abuja"," ₦ 30,000,000/year "
5 BEDROOM HOUSE FOR RENT,5 Bedroom Detached Duplex,Chevron Lekki Lagos," ₦ 7,000,000/year "
2 BEDROOM FLAT / APARTMENT FOR RENT,Furnished 2 Bedroom Apartment,Chevron Lekki Lagos," ₦ 5,000,000/year "
3 BEDROOM HOUSE FOR RENT,Serviced 3 Bedroom Apartment With Bq,Close To Nnpc Guzape Abuja," ₦ 4,500,000/year "
4 BEDROOM HOUSE FOR RENT,Beautiful 4 Bedroom Terraced Duplex,Osapa London Lekki Lagos," ₦ 6,000,000/year "
5 BEDROOM HOUSE FOR RENT,Brand New 5 Bedroom Mansion,Naf Valley Estate Asokoro Abuja Diplomatic Zone Asokoro Abuja," ₦ 17,000,000/year "
5 BEDROOM HOUSE FOR RENT,5 Bedroom Detached Duplex,Ikate Lekki Lagos," ₦ 13,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,Lekki Lagos," ₦ 10,000,000/year "
2 BEDROOM HOUSE FOR RENT,2 Bedroom Apartment,Main Maitama Abuja," ₦ 3,500,000/year "
3 BEDROOM HOUSE FOR RENT,3 Bedroom Flat,Ademola Adetokunbo Victoria Island Lagos," ₦ 15,000,000/year "
5 BEDROOM HOUSE FOR RENT,5 Bedroom Detached Duplex,"Phase 1, Lekki Lagos"," ₦ 25,000,000/year "
4 BEDROOM FLAT / APARTMENT FOR RENT,Luxury 4 Bedroom Apartment + Bq,Old Ikoyi Lagos," ₦ 11,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex With Bq,Osborne Foreshore Estate Ikoyi Lagos," ₦ 12,500,000/year "
3 BEDROOM HOUSE FOR RENT,3 Bedroom Apartment,Oniru Victoria Island Lagos," ₦ 8,000,000/year "
4 BEDROOM HOUSE FOR RENT,Fully Serviced 4 Bedroom Terrace Duplex,Orchid Chevron Lekki Lagos," ₦ 4,000,000/year "
2 BEDROOM HOUSE FOR RENT,2 Bedroom Flat,Gilmore Jahi Abuja," ₦ 4,000,000/year "
2 BEDROOM FLAT / APARTMENT FOR RENT,2 Bedroom Flat,"Ekoro Road, Meiran Abule Egba Lagos"," ₦ 700,000/year "
2 BEDROOM FLAT / APARTMENT FOR RENT,Newly Built 2 Bedroom Flat,Ikolaba Gra Bodija Ibadan Oyo," ₦ 1,200,000/year "
3 BEDROOM HOUSE FOR RENT,3 Bedroom Apartment,Ikate Lekki Lagos," ₦ 6,500,000/year "
5 BEDROOM HOUSE FOR RENT,5 Bedroom Detached Duplex,Chevron Lekki Lagos," ₦ 10,000,000/year "
4 BEDROOM FLAT / APARTMENT FOR RENT,4 Bedroom Apartment With Bq,Old Ikoyi Ikoyi Lagos," ₦ 12,000,000/year "
4 BEDROOM FLAT / APARTMENT FOR RENT,Luxury 4 Bedroom Penthouse,Ikate Lekki Lagos," ₦ 8,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,Ologolo Lekki Lagos," ₦ 7,000,000/year "
1 BEDROOM FLAT / APARTMENT FOR RENT,Room Self Contained,Bodija Ibadan Oyo," ₦ 300,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex,Chevron Lekki Lagos," ₦ 5,500,000/year "
4 BEDROOM HOUSE FOR RENT,Brand New 4 Bedroom Terrace Duplex,Extention Abuja Diplomatic Zone Katampe Ext Abuja," ₦ 10,000,000/year "
4 BEDROOM HOUSE FOR RENT,Beautiful 4 Bedroom Terraced Duplex,Vgc Lekki Lagos," ₦ 4,000,000/year "
4 BEDROOM HOUSE FOR RENT,Serviced 4 Bedroom Maisonette + Gym & Pool,Ikoyi Lagos," ₦ 14,000,000/year "
4 BEDROOM HOUSE FOR RENT,Newly Built 4 Bedroom Semi Detached Duplex With Bq,By Ebanor Super Market Oniru Victoria Island Lagos," ₦ 10,000,000/year "
2 BEDROOM HOUSE FOR RENT,2 Bedroom Block Of Flats,Asokoro Abuja," ₦ 6,500,000/year "
4 BEDROOM HOUSE FOR RENT,Well Renovated 4 Bedroom Semi Detached Duplex,Extention Abuja Diplomatic Zone Katampe Ext Abuja," ₦ 15,000,000/year "
1 BEDROOM FLAT / APARTMENT FOR RENT,Room And Parlor,Ikolaba Gra Bodija Ibadan Oyo," ₦ 700,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Fully Detached Duplex With Bq,Off Conservation Road Chevron Lekki Lagos," ₦ 7,000,000/year "
4 BEDROOM HOUSE FOR RENT,Massive 4 Bedroom Terraced Duplex,Chevron Lekki Lagos," ₦ 4,500,000/year "
2 BEDROOM HOUSE FOR RENT,2 Bedroom Apartment,"Phase 1, Lekki Lagos"," ₦ 8,000,000/year "
5 BEDROOM HOUSE FOR RENT,Exotic 5 Bedroom Detached Duplex + Bq,Ajah Lagos," ₦ 5,500,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,Kobiowu Crescents Iyanganku Ibadan Oyo," ₦ 4,000,000/year "
4 BEDROOM FLAT / APARTMENT FOR RENT,Waterview 4 Bedroom Apartment,Old Ikoyi Ikoyi Lagos," ₦ 16,000,000/year "
4 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Apartment,Off Banana Island Road Ikoyi Lagos," ₦ 12,000,000/year "
3 BEDROOM FLAT / APARTMENT FOR RENT,Luxury 3 Bedroom Apartment With Bq,Old Ikoyi Ikoyi Lagos," ₦ 13,000,000/year "
4 BEDROOM HOUSE FOR RENT,Beautiful 4 Bedroom Semi Detached Duplex,Orchid Chevron Lekki Lagos," ₦ 4,500,000/year "
4 BEDROOM HOUSE FOR RENT,Exotic 4 Bedroom Terraced Duplex,Orchid Chevron Lekki Lagos," ₦ 4,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,Orchid Chevron Lekki Lagos," ₦ 4,500,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex,"Chevron Toll Gate, Lekki Lagos"," ₦ 6,000,000/year "
4 BEDROOM HOUSE FOR RENT,Serviced 4 Bedroom Semi Detached Duplex With Bq,Orchid Chevron Lekki Lagos," ₦ 5,500,000/year "
4 BEDROOM HOUSE FOR RENT,Aesthetic 4 Bedroom Semi Detached Duplex + Bq,"Orchid, Chevron Lekki Lagos"," ₦ 4,000,000/year "
4 BEDROOM HOUSE FOR RENT,Ensuite 4 Bedroom Terrace Duplex,Orchid Chevron Lekki Lagos," ₦ 4,000,000/year "
3 BEDROOM FLAT / APARTMENT FOR RENT,6 Units Of 3 Bedroom Apartment,Old Ikoyi Lagos," ₦ 8,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,Ikota Lekki Lagos," ₦ 4,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex,Osapa London Lekki Lagos," ₦ 6,500,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplexes,"Orchid, Chevron Lekki Lagos"," ₦ 5,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex + Bq,Ajah Lagos," ₦ 5,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex,Ikota Lekki Lagos," ₦ 4,300,000/year "
4 BEDROOM HOUSE FOR RENT,Suitable For Commercial 4 Bed Semi Detached Duplex + Bq,Chevron Lekki Lagos," ₦ 6,000,000/year "
4 BEDROOM HOUSE FOR RENT,Beautiful 4 Bedroom Semi Detached Duplex,Orchid Chevron Lekki Lagos," ₦ 4,000,000/year "
3 BEDROOM HOUSE FOR RENT,3 Bedroom Apartment,Oniru Victoria Island Lagos," ₦ 9,000,000/year "
4 BEDROOM HOUSE FOR RENT,Luxury 4 Bedroom Terrace Duplex,Old Ikoyi Ikoyi Lagos," ₦ 18,000,000/year "
4 BEDROOM HOUSE FOR RENT,Serviced 4 Bedroom Terraced Duplex,Orchid Chevron Lekki Lagos," ₦ 4,000,000/year "
4 BEDROOM FLAT / APARTMENT FOR RENT,Luxury 4 Bedroom Apartment,Old Ikoyi Ikoyi Lagos," ₦ 16,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Close To Coza Guzape Abuja," ₦ 4,500,000/year "
2 BEDROOM HOUSE FOR RENT,Serviced 2 Bedroom Flat With Bq,Wuse 2 Abuja," ₦ 7,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex,Old Ikoyi Lagos," ₦ 20,000,000/year "
2 BEDROOM FLAT / APARTMENT FOR RENT,2 Bedroom Flat,"Kolapo Ishola Gra, Akobo Ibadan Oyo"," ₦ 1,200,000/year "
4 BEDROOM HOUSE FOR RENT,Fully Serviced 4 Bedroom Terrace Duplex,Orchid Chevron Lekki Lagos," ₦ 4,000,000/year "
FLAT / APARTMENT FOR RENT,Mini Flat,Iwaya Onike Bariga Lagos," ₦ 750,000/year "
3 BEDROOM HOUSE FOR RENT,3 Bedroom Flat,Gilmore Jahi Abuja," ₦ 6,000,000/year "
5 BEDROOM HOUSE FOR RENT,5 Bedroom Fully Detached Duplex,Chevron Lekki Lagos," ₦ 10,000,000/year "
3 BEDROOM HOUSE FOR RENT,3 Bedroom Bungalow,Abuja Diplomatic Zone Asokoro Abuja," ₦ 8,500,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,Banana Island Ikoyi Lagos," ₦ 22,000,000/year "
4 BEDROOM HOUSE FOR RENT,Luxury 4 Bedroom Terrace Duplex,Old Ikoyi Ikoyi Lagos," ₦ 13,000,000/year "
4 BEDROOM HOUSE FOR RENT,Exotic 4 Bedroom Terraced Duplex + Bq,"Orchid, Chevron Lekki Lagos"," ₦ 3,500,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex With Bq,Life Camp Abuja," ₦ 7,000,000 "
4 BEDROOM HOUSE FOR RENT,Luxury 4 Bedroom Detached Duplex,Old Ikoyi Lagos," ₦ 17,000,000/year "
3 BEDROOM FLAT / APARTMENT FOR RENT,Luxury 4 Bedroom Apartment +bq,Old Ikoyi Old Ikoyi Ikoyi Lagos," ₦ 16,000,000/year "
CO WORKING SPACE FOR RENT,Office Space,"Gastab, New Garage, Ibadan Oyo"," ₦ 1,000,000/year "
6 BEDROOM HOUSE FOR RENT,6 Bedroom Duplex,Osapa London Lekki Lagos," ₦ 9,500,000/year "
4 BEDROOM HOUSE FOR RENT,Fully Serviced 4 Bedroom Semi Detached Duplex With Bq,Orchid Chevron Lekki Lagos," ₦ 5,000,000/year "
4 BEDROOM HOUSE FOR RENT,Serviced 4 Bedroom Semi Detached Duplex + Bq,Igbo Efon Lekki Lagos," ₦ 5,500,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,Lekki Lagos," ₦ 12,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex,Chevron Lekki Lagos," ₦ 7,000,000/year "
4 BEDROOM HOUSE FOR RENT,Exotic 4 Bedroom Maisonette,"Admiralty Way, Phase 1 Lekki Lagos"," ₦ 10,000,000/year "
4 BEDROOM HOUSE FOR RENT,Exotic 4 Bedroom Detached Duplex + Bq L,Osapa London Lekki Lagos," ₦ 5,500,000/year "
5 BEDROOM HOUSE FOR RENT,5 Bedroom Fully Detached Duplex With Bq,Orchid Chevron Lekki Lagos," ₦ 8,000,000 "
4 BEDROOM HOUSE FOR RENT,Beautiful 4 Bedroom Semi Detached Duplex,Orchid Chevron Lekki Lagos," ₦ 6,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,"Phase 1, Lekki Lagos"," ₦ 10,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex,Chevron Lekki Lagos," ₦ 6,500,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Fully Detached Duplex,Chevron Lekki Lagos," ₦ 8,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex,Idado Lekki Lagos," ₦ 5,500,000/year "
5 BEDROOM HOUSE FOR RENT,5 Bedroom Detached Duplex,"Lekki Right, Lekki Lagos"," ₦ 20,000,000/year "
3 BEDROOM HOUSE FOR RENT,3 Bedroom Apartment,Lekki Lagos," ₦ 8,500,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex With Bq,Ikate Lekki Lagos," ₦ 8,500,000/year "
5 BEDROOM HOUSE FOR RENT,5 Bedroom Fully Detached Duplex,Idado Lekki Lagos," ₦ 5,500,000/year "
3 BEDROOM HOUSE FOR RENT,3 Bedroom Penthouse,Old Ikoyi Ikoyi Lagos," ₦ 16,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Detached Duplex With Bq,Old Ikoyi Ikoyi Lagos," ₦ 16,000,000/year "
4 BEDROOM FLAT / APARTMENT FOR RENT,Luxury 4 Bedroom Penthouse + Bq,Banana Island Estate Banana Island Ikoyi Lagos," ₦ 25,000,000/year "
4 BEDROOM HOUSE FOR RENT,Luxury 4 Bedroom Terraced Duplex + Bq,Old Ikoyi Lagos," ₦ 25,000,000/year "
5 BEDROOM HOUSE FOR RENT,5 Bedroom Semi Detached Duplex,Katampe Ext Abuja," ₦ 25,000,000/year "
7 BEDROOM HOUSE FOR RENT,7 Bedroom Mansion,"Diplomatic Zone, Maitama Abuja"," ₦ 70,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex,"Naf Valley Estate, Diplomatic Zone, Asokoro Abuja"," ₦ 8,000,000/year "
4 BEDROOM HOUSE FOR RENT,Newly Built 4 Bedroom Terrace Duplex,Old Ikoyi Ikoyi Lagos," ₦ 16,000,000/year "
4 BEDROOM HOUSE FOR RENT,Serviced 4 Bedroom Terraced Duplex,Orchid Chevron Lekki Lagos," ₦ 4,500,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Lekki Lagos," ₦ 8,000,000/year "
4 BEDROOM HOUSE FOR RENT,New 4 Bedroom Terraced Duplex + 1 Room Bq,"Diplomatic Zone, Guzape Abuja"," ₦ 8,000,000/year "
1 BEDROOM FLAT / APARTMENT FOR RENT,Newly Built Mini Flat,Oniru Victoria Island Lagos," ₦ 5,500,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Fully Detached Duplex,Yakoyo Ojodu Lagos," ₦ 3,500,000/year "
5 BEDROOM HOUSE FOR RENT,Furnished 5 Bedroom Detached Duplex,Chevron Lekki Lagos," ₦ 10,000,000/year "
2 BEDROOM HOUSE FOR RENT,2 Bedroom Apartment,Ligali Ayorinde Victoria Island Lagos," ₦ 8,000,000/year "
6 BEDROOM HOUSE FOR RENT,6 Bedroom Mansion,Diplomatic Zone Asokoro Abuja," ₦ 40,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex + Pool,Banana Island Ikoyi Lagos," ₦ 30,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Detached Duplex,Orchid Chevron Lekki Lagos," ₦ 8,000,000/year "
2 BEDROOM HOUSE FOR RENT,Beautiful 2 Bedroom Apartment,Ikate Lekki Lagos," ₦ 3,500,000/year "
5 BEDROOM HOUSE FOR RENT,5 Bedroom Detached Duplex,Ikate Lekki Lagos," ₦ 13,000,000/year "
4 BEDROOM HOUSE FOR RENT,New 4 Bedroom Semi Detached Duplex,Chevron Lekki Lagos," ₦ 5,000,000/year "
2 BEDROOM FLAT / APARTMENT FOR RENT,2 Bedroom Apartment,Bay Nest Megamound Extension Mobil Road Lekki Phase 2 Lekki Lagos," ₦ 2,800,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Old Ikoyi Ikoyi Lagos," ₦ 18,000,000/year "
3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Apartment,Banana Island Ikoyi Lagos," ₦ 14,550,000/year "
4 BEDROOM FLAT / APARTMENT FOR RENT,4 Bedroom Apartment+ Bq,"Banana Island Road, Ikoyi Lagos"," ₦ 15,000,000/year "
4 BEDROOM FLAT / APARTMENT FOR RENT,4 Bedroom Apartment With Bq,Old Ikoyi Ikoyi Lagos," $ 125,000/year "
3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Flat,Gowon Estate Egbeda Alimosho Lagos," ₦ 2,000,000/year "
5 BEDROOM HOUSE FOR RENT,Semi Detached 5 Bedroom Duplex,Guzape Abuja," ₦ 13,000,000/year "
3 BEDROOM HOUSE FOR RENT,3 Bedroom Block Of Flats,Guzape Abuja," ₦ 5,000,000/year "
3 BEDROOM HOUSE FOR RENT,3 Bedroom Block Of Flats,Asokoro Abuja," $ 40,000/year "
5 BEDROOM HOUSE FOR RENT,5 Bedroom Detached Duplex,"Chevron Toll Gate, Chevron Lekki Lagos"," ₦ 7,000,000/year "
3 BEDROOM HOUSE FOR RENT,3 Bedroom Flat,"Kolapo Ishola Gra, Akobo Ibadan Oyo"," ₦ 2,000,000/year "
8 BEDROOM HOUSE FOR RENT,8 Bedroom Detached Duplex,Main Maitama Abuja," ₦ 60,000,000/year "
FLAT / APARTMENT FOR RENT,2 Bedroom Flat,Bodija Ibadan Oyo," ₦ 600,000/year "
1 BEDROOM FLAT / APARTMENT FOR RENT,Mini Flat,Palmgroove Shomolu Lagos," ₦ 800,000/year "
3 BEDROOM FLAT / APARTMENT FOR RENT,Ground Floor 3 Bedroom Apartment + Bq,Parkview Estate Ikoyi Lagos," ₦ 7,000,000/year "
FLAT / APARTMENT FOR RENT,Newly Built 2 Bedroom Flat,"Isokan Estate, Akobo Ibadan Oyo"," ₦ 600,000/year "
FLAT / APARTMENT FOR RENT,Room Self Contain,"Awotan Area Apete, Ibadan Oyo"," ₦ 100,000/year "
